Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Block_Grass,0,-9.3,0,0,0,0,5000,1000,2000
Block_Grass,103,-9.3,0,0,0,0,5000,1000,2000
Block_Grass,202.1,-9.3,0,0,0,0,5000,1000,2000
Block_Grass,106.12,-3.48,0,0,0,10,500,500,2100
Block_Grass,123.82,-3.5,0,0,0,350,500,500,2100
Block_Grass,115,-2.65,0,0,0,0,500,495,2100
Block_Grass,-3.048969,2.2,15.9,0,0,0,2000,200,200
Block_Grass,26.1,1.2,13.62,0,0,0,2000,100,200
Block_Grass,75.6,1.2,15.2,0,0,0,2000,100,200
Block_Grass,114,1.2,17.4,0,0,0,2000,300,200
Block_Grass,156.3,2.8,17.3,0,0,0,2000,300,300
Block_Grass,189.9,1.2,15.6,0,0,0,2000,300,300
