Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Plane,0,0.5,0,0,0,0,10,1,5
Plane,88.8,3.7,-4.2,0,0,5.000001,10,1,5
Plane,49.97,-9.54,0,0,0,270,2,1,3
Plane,138.53,-6.99,-15.76,0,0,270,3,1,7
Plane,86.2,0.5,11,90,180,0,35,1,5
Plane,-32.1,0.5,-4.5,90,0,0,10,1,5
Plane,41.71,0.5,-11.82,90,16.99846,0,5,1,5
Plane,-16.4,0.5,10,90,90,0,10,1,5
Rock1,0,0,18.96,270,0,0,100,100,100
Rock1,39.89,0,18.96,270,0,0,100,100,100
Rock1,77.3,0,18.96,270,0,0,100,100,100
Rock1,121.3,0,18.96,270,0,0,100,100,100
Rock1,28.78,-7.1,-17.22,0,180,0,100,100,100
Rock1,-15.1,-4.7,-57,0,180,0,300,300,300
Rock1,90.3,-4.7,-57.1,0,180,0,300,300,300
Rock1,171.0693,-4.7,-87.04993,0,119.3778,0,300,300,300
Cube,-4.32,1.83,10.72,0,0,0,6,6,6
Cube,8.07,1.83,11.37,0,0,0,6,6,6
