Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,GroupTag,HP,Armor,AttackPower,Speed,SearchPlaceRang,ViewingAngle,SearchDistance,ModelRotateSpeed
Rock2,-4.13,-1.5,10.48,-9.334667E-06,0,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-17.66865,-1.5,11.8,0,37.17,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-23,-1.5,8.2,-9.334675E-06,329.095,2.035555E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-32.06811,-1.5,2.771757,-9.334675E-06,329.095,2.035555E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-29.43303,-1.5,5.281502,0,6.265049,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-38.50114,-1.5,-0.1467166,0,6.265049,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-21.38189,-1.5,-5.131758,-9.334675E-06,329.095,2.035555E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-30.45,-1.5,-10.56,-9.334675E-06,329.095,2.035555E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-27.81493,-1.5,-8.050256,0,6.265049,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-36.88303,-1.5,-13.47847,0,6.265049,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-6.33,-1.5,-7.32,-9.334683E-06,355.5233,2.569888E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-16.86642,-1.5,-10.69494,-9.334683E-06,355.5233,2.569888E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-13.3897,-1.5,-7.79,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-23.92611,-1.5,-10.44521,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,17,-1.5,-9.6,-9.334683E-06,355.5233,2.569888E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,6.463585,-1.5,-6.94,-9.334683E-06,355.5233,2.569888E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,9.940298,-1.5,-5.83,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,66.64,1.87,3.26,0,32.69338,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Rock2,98.15,2.14,4.49,0,32.69338,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Rock2,125.1,1.5,24.4,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.79,0.48,2.9,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.49,0.48,0.31,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,189.12,0.48,2.51,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,197.64,0.18,-14.83,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,157.41,-1.67,18.87,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,122.19,-1.67,-2.91,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,94.21,-1.67,-26.59,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,31.76,-5.36,-8.41,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,21.18866,-5.36,12.89625,0,144.652,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,44.37,-5.36,16.29,0,144.652,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,54.55,-4.58,15.52,0,144.652,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,57.67,-4.58,-2.6,0,144.652,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,72.21,-3.1,-4.99,0,144.652,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,78.68,-2.58,14.21,0,144.652,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,106.2,-1.67,12.8,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,138.7,-1.67,27.6,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,139.4,-1.67,1.5,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,172.2,-1.67,-6.6,0,32.69338,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,205.6272,0.1800001,9.360535,0,92.2123,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,212.58,0.1800001,-9.99,0,92.2123,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,227.3644,0.2988262,11.84331,1.95076,92.2123,-4.271344E-07,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,189.84,0.48,5.98,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,189.89,0.48,9.37,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,189.54,0.48,-3.31,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,188.66,0.48,-1.2,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.65,0.48,-3.1,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,188.57,0.48,-4.67,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.6,0.48,-6.57,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,188.3,0.48,-9.16,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.85,0.48,5.02,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.94,0.48,7.38,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.92,0.48,9.82,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,179.59,-0.3,9.98,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,187.5,0.48,12.02,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,226.45,0.24,76.24,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,230.25,0.24,71.92,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,243.7,0.24,71.79,0,295.3569,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,249.37,0.34,78.81,0,295.3569,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,244.51,0.34,74.91,0,295.3569,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,231.7,0.34,75.4,0,295.3569,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,224.5,0.34,89.8,0,295.3569,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,244.68,0.17,96.97,0,295.3569,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,262.5,0.13,90.8,0,295.3569,0,10,3,10,Untagged,0,0,0,0,0,0,0,0
Rock2,-0.5961075,-1.5,-7.23,0,32.69338,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,8.21,-1.5,11.17,-9.334683E-06,355.5233,2.569888E-12,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock1,0,0,19.23,270,0,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,39.89,0,18.96,270,0,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,77.3,0,18.96,270,0,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,28.78,-7.1,-17.22,0,180,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,-12.67,-7.1,-23.37,0,164.7381,0,150,150,150,Untagged,0,0,0,0,0,0,0,0
Rock1,-15.1,-4.7,-57,0,180,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,157.4,-12.6,-45.5,0,0,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,301.9,-4.7,63.6,0,119.3778,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Block_Grass,0,-9.6,0,0,0,0,5000,1000,2000,Untagged,0,0,0,0,0,0,0,0
Block_Grass,139.3,-6,0,0,0,0,5000,1000,3000,Untagged,0,0,0,0,0,0,0,0
Block_Grass,239.2,-4.1,61.3,0,0,0,5000,1000,10000,Untagged,0,0,0,0,0,0,0,0
Block_Grass,70.41,-7.69,0,0,0,5.000001,2000,1000,2000,Untagged,0,0,0,0,0,0,0,0
Rock1,165.3,-4.7,56.3,0,0,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,28.78,-7.1,-17.22,0,180,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,77.3,0,18.96,270,0,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,-15.1,-4.7,-57,0,180,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,90.3,-20.2,-44.2,0,180,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,0,0,18.96,270,0,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,148.6,-4.7,64.9,0,328.7054,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,39.89,0,18.96,270,0,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,171.0693,-4.7,-87.04993,0,119.3778,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,256.2,-4.7,-59.4,0,0,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,263.3,-4.7,-11.5,0,90,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,264.3,0,130.4,0,0,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,291.8,0,73.8,0,69.24651,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Rock1,263.2,4.1,64.5,0,179.3677,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,266.9,1.6,64.6,0,9.905859,0,100,100,100,Untagged,0,0,0,0,0,0,0,0
Rock1,198.6,0,118.9,0,270,0,300,300,300,Untagged,0,0,0,0,0,0,0,0
Grass,10.61,0.56,4.17,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,23.78,0.56,4.17,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,27.21,0.21,2.27,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,26.91,0.21,4.51,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,29.16,0.21,7.03,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,33.16,0.21,7.79,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,30.27,0.21,0.65,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,32.99,0.21,2.02,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,30.64,0.21,-2.81,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,37.48,0.21,-4.79,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,44.58,0.21,-1.86,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,46.3,0.21,5.62,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,59.21,1.14,-1.35,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,67.98,1.14,-1.7,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,67.98,1.66,-1.7,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,63.76,1.43,7.9,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,75.78,2.14,6.06,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,78.17,2.14,0.82,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,84.98,2.98,8.37,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,85.91,2.98,-1.35,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,81.21,3.43,-2.79,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,93.33,3,8.82,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,103.03,3,0.75,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,103.03,3.67,0.75,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Grass,100.67,3.67,-3.23,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
