Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Plane,0,0.5,0,0,0,0,10,1,5
Plane,189.3,3.8,0,0,0,0,20,1,8
Plane,244.6,6.2,69.2,0,0,0,11,1,20
Plane,189.1,-43.6,0,0,0,90,10,1,8
Plane,69.4,2.27,-4.2,0,0,5.000001,4,1,5
Plane,27.2,0.5,11,90,180,0,15,1,5
Plane,122.8,0.5,25.2,90,145.3802,0,5,1,5
Plane,141.4,0.5,29.3,90,175.8713,0,3,1,5
Plane,166.3,0.5,23.6,90,206.7343,0,5,1,5
Plane,192.89,0.5,11.72,90,189.1148,0,1,1,5
Plane,202.6,0.5,11.1,90,180,0,1,1,5
Plane,215.21,0.5,17.22,90,142.4879,0,2,1,5
Plane,226.16,0.5,32.68,90,108.1339,0,2,1,5
Plane,230.43,0.5,56.99,90,95.17393,0,3,1,5
Plane,223.63,0.5,84.28,90,58.02117,0,3,1,5
Plane,223.2,0.5,94.8,90,95.17393,0,3,1,5
Plane,236.9,0.5,107.3,90,180,0,3,1,5
Plane,246.4,0.5,106.3,90,206.0689,0,3,1,5
Plane,258.3,0.5,96.7,90,247.759,0,3,1,5
Plane,262.2,0.5,75.8,90,279.2464,0,3,1,5
Plane,257.91,0.5,69.07,90,322.9561,0,2,1,5
Plane,242.7,0.5,30.4,90,272.9019,0,5,1,5
Plane,223,0.5,-8.6,90,322.2973,0,5,1,5
Plane,183.6,0.5,-8.2,90,23.50057,0,9,1,5
Plane,119.52,0.5,-0.84,90,335.8181,0,5,1,5
Plane,246.96,0.5,59.05,90,304.805,0,1,1,5
Plane,27.2,0.5,-2,90,0,0,20,1,5
Plane,-16.4,0.5,10,90,90,0,10,1,5
Plane,248.7,0.5,68.3,90,0,0,10,1,5
Cube,-4.32,1.83,10.72,0,0,0,6,6,6
Cube,-13.3,1.83,-7.2,0,0,0,6,6,6
Cube,-6.8,1.83,-6.4,0,0,0,6,6,6
Cube,-0.1,1.83,-6.6,0,0,0,6,6,6
Cube,5.9,1.83,-5.5,0,0,0,6,6,6
Cube,11,1.83,-4.8,0,0,0,6,6,6
Cube,8.07,1.83,11.37,0,0,0,6,6,6
Cube,67.3,2.1,0.8,0,0,0,6,6,6
Cube,126.38,4.9,25.83,0,0,0,7,7,7
Cube,98.65,4.2,4.98,0,0,0,5,5,5
Cube,184.74,2.35,3.8,0,0,0,6,6,6
