Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,GroupTag,HP,Armor,AttackPower,Speed,SearchPlaceRang,ViewingAngle,SearchDistance,ModelRotateSpeed
Rock1,2.22,0,-1.73,0,0,0,4,4,4,Untagged,0,0,0,0,0,0,0,0
Rock1,-4.14,0,4.11,0,8.919996,0,4,4,4,Untagged,0,0,0,0,0,0,0,0
Rock1,-3.09,0,3.01,0,8.919996,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Block_Grass,0,-1,0,0,0,0,200000,100,200000,Untagged,0,0,0,0,0,0,0,0
Grass1,-0.71,0,3.82,0,0,0,0.3,0.3,0.3,Untagged,0,0,0,0,0,0,0,0
Grass1,-1.78,0,2.03,0,0,0,0.3,0.3,0.3,Untagged,0,0,0,0,0,0,0,0
Grass1,1.23,0,2.53,0,0,0,0.3,0.3,0.3,Untagged,0,0,0,0,0,0,0,0
Grass1,-1.86,0,-0.16,0,0,0,0.3,0.3,0.3,Untagged,0,0,0,0,0,0,0,0
Grass1,-2.93,0,5.99,0,0,0,0.3,0.3,0.3,Untagged,0,0,0,0,0,0,0,0
Grass1,0.4,0,6.27,0,0,0,0.3,0.3,0.3,Untagged,0,0,0,0,0,0,0,0
Rock2,3.17,-2.18,12.11,-9.334667E-06,0,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,0.61,-3.95,18.56,-9.334667E-06,0,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,-8.4,-1.55,16.57,0,69.99999,0,4,4,4,Untagged,0,0,0,0,0,0,0,0
Rock2,-6.83,-0.24,1.82,0,69.99999,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Rock2,-20.7,-0.24,18.6,0,69.99999,0,7,7,7,Untagged,0,0,0,0,0,0,0,0
Rock2,8.8,2.2,23.2,0,69.99999,0,7,7,7,Untagged,0,0,0,0,0,0,0,0
Rock2,-11.79,-1,12.07,0,69.99999,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Rock2,8.39,-1.77,11.88,0,69.99999,0,3,3,3,Untagged,0,0,0,0,0,0,0,0
Tree1,-9.22,-1.83,16.38,0,0,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Tree1,-4.52,2.54,17.74,0,0,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Tree1,0.72,-0.22,21.75,0,0,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Tree1,-11.4,-1.83,7.33,0,0,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Tree1,5.44,-1.83,8.31,0,0,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Tree1,2.41,-1.83,16.31,0,0,0,2,2,2,Untagged,0,0,0,0,0,0,0,0
Tree1,-8.27,0,5.58,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Tree1,4.96,0,3.48,0,0,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Tree1,2.94,0,5.27,0,79.99999,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Tree1,-5.72,0,7.61,0,79.99999,0,1,1,1,Untagged,0,0,0,0,0,0,0,0
Flower1,2.45,0,2.27,0,0,0,0.2,0.2,0.2,Untagged,0,0,0,0,0,0,0,0
