Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,GroupTag,HP,Armor,AttackPower,Speed,SearchPlaceRang
Player,0,1,3.06,0,90,0,1,1,1,Untagged,1000,0,100,2,0
SmallDragon,80.23,0.5,3.28,0,270,0,0.5,0.5,0.5,Group1,1000,0,100,2,0
SmallDragon,80.36,0.6,6.41,0,270,0,0.5,0.5,0.5,Group1,1000,0,100,2,0
SmallDragon,116.12,2.36,5.39,0,270,0,0.5,0.5,0.5,Group2,1000,0,100,2,0
SmallDragon,115.94,2.45,3.12,0,270,0,0.5,0.5,0.5,Group2,1000,0,100,2,0
SmallDragon,142.79,-0.02,5.47,0,270,0,0.5,0.5,0.5,Group4,1000,0,100,2,600
SmallDragon,139.74,0.2,8.26,0,270,0,0.5,0.5,0.5,Group4,1000,0,100,2,600
SmallDragon,115.99,2.45,7.67,0,270,0,0.5,0.5,0.5,Group2,1000,0,100,2,0
SmallDragon,118.02,2.36,5.39,0,270,0,0.5,0.5,0.5,Group3,1000,0,100,2,0
SmallDragon,117.84,2.45,3.12,0,270,0,0.5,0.5,0.5,Group3,1000,0,100,2,0
SmallDragon,117.89,2.45,7.67,0,270,0,0.5,0.5,0.5,Group3,1000,0,100,2,0
BossDragon,170.5,0.6,3.9,0,270,0,1,1,1,Untagged,1000,0,100,2,0
PurpleDinosaur,77.28,1,4.8,0,270,0,0.5,0.5,0.5,Group1,1000,0,100,2,0
PurpleDinosaur,37.79,1,4.52,0,270,0,0.5,0.5,0.5,Untagged,900,0,10,2,800
PurpleDinosaur,75.45,0.85,6.49,0,270,0,0.5,0.5,0.5,Group1,1000,0,100,2,0
PurpleDinosaur,75.8,0.8,3.25,0,270,0,0.5,0.5,0.5,Group1,1000,0,100,2,0
PurpleDinosaur,133.32,0.76,8.12,0,270,0,0.5,0.5,0.5,Untagged,1000,0,100,2,600
PurpleDinosaur,138.59,0.91,4.32,0,270,0,0.5,0.5,0.5,Untagged,1000,0,100,2,600
Bomber,146.41,0.77,5.82,0,270,0,0.5,0.5,0.5,Untagged,1000,0,100,2,600
